idVotacao;uriVotacao;dataHoraVoto;voto;deputado_id;deputado_uri;deputado_nome;deputado_siglaPartido;deputado_uriPartido;deputado_siglaUf;deputado_idLegislatura;deputado_urlFoto
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:46;Sim;141456;https://dadosabertos.camara.leg.br/api/v2/deputados/141456;Jilmar Tatto;PT;https://dadosabertos.camara.leg.br/api/v2/partidos/36844;SP;57;https://www.camara.leg.br/internet/deputado/bandep/141456.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:17;Sim;141458;https://dadosabertos.camara.leg.br/api/v2/deputados/141458;João Carlos Bacelar;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;BA;57;https://www.camara.leg.br/internet/deputado/bandep/141458.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:08;Sim;178970;https://dadosabertos.camara.leg.br/api/v2/deputados/178970;João Daniel;PT;https://dadosabertos.camara.leg.br/api/v2/partidos/36844;SE;57;https://www.camara.leg.br/internet/deputado/bandep/178970.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:37:20;Sim;74550;https://dadosabertos.camara.leg.br/api/v2/deputados/74550;João Leão;PP;https://dadosabertos.camara.leg.br/api/v2/partidos/37903;BA;57;https://www.camara.leg.br/internet/deputado/bandep/74550.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:40:55;Sim;178910;https://dadosabertos.camara.leg.br/api/v2/deputados/178910;Joaquim Passarinho;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;PA;57;https://www.camara.leg.br/internet/deputado/bandep/178910.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:14;Sim;160548;https://dadosabertos.camara.leg.br/api/v2/deputados/160548;Jonas Donizette;PSB;https://dadosabertos.camara.leg.br/api/v2/partidos/36832;SP;57;https://www.camara.leg.br/internet/deputado/bandep/160548.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:18;Sim;205550;https://dadosabertos.camara.leg.br/api/v2/deputados/205550;Jorge Braz;REPUBLICANOS;https://dadosabertos.camara.leg.br/api/v2/partidos/37908;RJ;57;https://www.camara.leg.br/internet/deputado/bandep/205550.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:32:49;Sim;214694;https://dadosabertos.camara.leg.br/api/v2/deputados/214694;Jorge Goetten;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;SC;57;https://www.camara.leg.br/internet/deputado/bandep/214694.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:40:07;Sim;141464;https://dadosabertos.camara.leg.br/api/v2/deputados/141464;José Airton Félix Cirilo;PT;https://dadosabertos.camara.leg.br/api/v2/partidos/36844;CE;57;https://www.camara.leg.br/internet/deputado/bandep/141464.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:14;Sim;141470;https://dadosabertos.camara.leg.br/api/v2/deputados/141470;José Guimarães;PT;https://dadosabertos.camara.leg.br/api/v2/partidos/36844;CE;57;https://www.camara.leg.br/internet/deputado/bandep/141470.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:22;Sim;204472;https://dadosabertos.camara.leg.br/api/v2/deputados/204472;José Medeiros;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;MT;57;https://www.camara.leg.br/internet/deputado/bandep/204472.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:38:54;Sim;204391;https://dadosabertos.camara.leg.br/api/v2/deputados/204391;José Nelto;PP;https://dadosabertos.camara.leg.br/api/v2/partidos/37903;GO;57;https://www.camara.leg.br/internet/deputado/bandep/204391.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:32:13;Sim;74079;https://dadosabertos.camara.leg.br/api/v2/deputados/74079;José Priante;MDB;https://dadosabertos.camara.leg.br/api/v2/partidos/36899;PA;57;https://www.camara.leg.br/internet/deputado/bandep/74079.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:34:20;Sim;74554;https://dadosabertos.camara.leg.br/api/v2/deputados/74554;José Rocha;UNIÃO;https://dadosabertos.camara.leg.br/api/v2/partidos/38009;BA;57;https://www.camara.leg.br/internet/deputado/bandep/74554.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:32:31;Sim;209189;https://dadosabertos.camara.leg.br/api/v2/deputados/209189;Joseildo Ramos;PT;https://dadosabertos.camara.leg.br/api/v2/partidos/36844;BA;57;https://www.camara.leg.br/internet/deputado/bandep/209189.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:30:43;Sim;220578;https://dadosabertos.camara.leg.br/api/v2/deputados/220578;Josenildo;PDT;https://dadosabertos.camara.leg.br/api/v2/partidos/36786;AP;57;https://www.camara.leg.br/internet/deputado/bandep/220578.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:35;Sim;74141;https://dadosabertos.camara.leg.br/api/v2/deputados/74141;Josias Gomes;PT;https://dadosabertos.camara.leg.br/api/v2/partidos/36844;BA;57;https://www.camara.leg.br/internet/deputado/bandep/74141.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:53;Sim;204474;https://dadosabertos.camara.leg.br/api/v2/deputados/204474;Juarez Costa;MDB;https://dadosabertos.camara.leg.br/api/v2/partidos/36899;MT;57;https://www.camara.leg.br/internet/deputado/bandep/204474.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:34:32;Sim;220640;https://dadosabertos.camara.leg.br/api/v2/deputados/220640;Juliana Cardoso;PT;https://dadosabertos.camara.leg.br/api/v2/partidos/36844;SP;57;https://www.camara.leg.br/internet/deputado/bandep/220640.jpg
2238434-80;https://dadosabertos.camara.leg.br/api/v2/votacoes/2238434-80;2024-03-13T19:31:07;Sim;66385;https://dadosabertos.camara.leg.br/api/v2/deputados/66385;Julio Arcoverde;PP;https://dadosabertos.camara.leg.br/api/v2/partidos/37903;PI;57;https://www.camara.leg.br/internet/deputado/bandep/66385.jpg
